#融资时间,融资公司,公司的种类,融资的轮次,公司地址,融资金额, 投资方（以空格分割),链接
2016.7.8,带来科技,企业服务,天使轮,上海,数百万人民币,创业接力(创业基金会) 中国风险投资,https://www.itjuzi.com/investevents/18293
2016.7.8,天舍文化,游戏,A轮,上海,1000万人民币,顺荣三七互娱,https://www.itjuzi.com/investevents/18290
2016.7.8,去日本,旅游,Pre-A轮,北京,1亿日元,Freebit Full Speed,https://www.itjuzi.com/investevents/18289
2016.7.8,量子足球,体育运动,天使轮,四川,100万人民币,创新谷Innovalley,https://www.itjuzi.com/investevents/18287
2016.7.8,星座女神,文化娱乐,A轮,北京,数千万人民币,孝昌水木投资(唐彬森),https://www.itjuzi.com/investevents/18286
2016.7.8,金融八卦女,文化娱乐,天使轮,北京,200万人民币,投资方未透露,https://www.itjuzi.com/investevents/18285
2016.7.8,金贝塔,金融,A轮,广东,未透露,蚂蚁金服(阿里巴巴),https://www.itjuzi.com/investevents/18279
2016.7.8,新美互通Kika Tech,工具软件,B+轮,北京,2.2亿人民币,猎豹移动 乾坤翰海 深圳国宏 西藏五星诚瑞,https://www.itjuzi.com/investevents/18274
2016.7.8,51订货(我要订货网),电子商务,B轮,江苏,1.5亿人民币,常春藤资本Ivy Capital 顺为基金 彬复资本 恒毓投资,https://www.itjuzi.com/investevents/18273
2016.7.8,一条视频,文化娱乐,B+轮,上海,1亿人民币,华人文化产业基金 飞马基金-飞马旅 创伴,https://www.itjuzi.com/investevents/18269
2016.7.8,Kika Keyboard,工具软件,B+轮,北京,2.2亿人民币,猎豹移动 乾坤翰海 深圳国宏 西藏五星诚瑞,https://www.itjuzi.com/investevents/18267
2016.7.8,米粒互动,文化娱乐,天使轮,北京,1000万人民币,小米科技 信文资本 丰厚资本,https://www.itjuzi.com/investevents/18265
2016.7.7,趣分期,金融,F轮-上市前,北京,30亿人民币,凤凰祥瑞 联络互动,https://www.itjuzi.com/investevents/18264
2016.7.7,筷云,电子商务,A轮,广东,数千万人民币,万居股份,https://www.itjuzi.com/investevents/18262
2016.7.7,中驰车福,汽车交通,战略投资,北京,4000万人民币,中一资本,https://www.itjuzi.com/investevents/18261
2016.7.7,和财富,金融,天使轮,浙江,950万人民币,米仓资本 人和网,https://www.itjuzi.com/investevents/18259
2016.7.7,易美佳人,本地生活,天使轮,天津,数百万人民币,投资方未透露,https://www.itjuzi.com/investevents/18257
2016.7.7,点师成金,企业服务,天使轮,浙江,900万人民币,上海丰瑞投资,https://www.itjuzi.com/investevents/18255
2016.7.7,蜜月佳,本地生活,天使轮,北京,数百万人民币,创客100基金,https://www.itjuzi.com/investevents/18251
2016.7.7,蓝港影业,文化娱乐,A轮,天津,1.3亿人民币,投资方未透露,https://www.itjuzi.com/investevents/18249
2016.7.7,邢少爷,本地生活,A轮,上海,5000万人民币,投资方未透露,https://www.itjuzi.com/investevents/18245
2016.7.7,宅耕科技iGrow,硬件,A+轮,浙江,未透露,戈壁投资 财富派,https://www.itjuzi.com/investevents/18244
2016.7.7,每日开眼Eyepetizer,文化娱乐,Pre-A轮,北京,数千万人民币,经纬中国,https://www.itjuzi.com/investevents/18240
2016.7.7,飞搜科技,企业服务,天使轮,北京,1000万人民币,投资方未透露,https://www.itjuzi.com/investevents/18237
2016.7.6,花印商城,电子商务,B轮,北京,1亿人民币,中金前海基金 天图资本 棋兆资本,https://www.itjuzi.com/investevents/18295
2016.7.6,小木人,电子商务,种子轮,上海,80万人民币,蚂蚁天使,https://www.itjuzi.com/investevents/18234
2016.7.6,闪电修,本地生活,天使轮,广东,450万人民币,投资方未透露,https://www.itjuzi.com/investevents/18233
2016.7.6,蜘蛛旅游网,旅游,B轮,广东,数千万美元,LB投资(LB Investment) 君联资本 城蓝资本,https://www.itjuzi.com/investevents/18232
2016.7.6,优客里邻,企业服务,天使轮,北京,300万人民币,君紫资本 无界空间 鸿泰国银投资 悦佑投资 创业最前线,https://www.itjuzi.com/investevents/18231
2016.7.6,大特保,金融,B+轮,北京,数千万美元,中华开发 复星集团,https://www.itjuzi.com/investevents/18230
2016.7.6,米客互联,本地生活,天使轮,福建,数千万人民币,传媒梦工场,https://www.itjuzi.com/investevents/18229
2016.7.6,马拉马拉,工具软件,Pre-A轮,北京,数千万人民币,探路者和同体育产业并购基金,https://www.itjuzi.com/investevents/18226
2016.7.6,鱼肚白动画,文化娱乐,Pre-A轮,北京,数百万人民币,暴走漫画 锤子手机,https://www.itjuzi.com/investevents/18222
2016.7.6,99广场舞,文化娱乐,A轮,北京,500万美元,银泰资本Ventech,https://www.itjuzi.com/investevents/18218
2016.7.5,淘葫芦,金融,A+轮,重庆,1250万人民币,中骏基金 瀚展资产 鼎尖投资 锦绪资产 江西锦特利,https://www.itjuzi.com/investevents/18209
2016.7.5,VRZINC,文化娱乐,天使轮,上海,500万人民币,UCCVR,https://www.itjuzi.com/investevents/18208
2016.7.5,容联云通讯,企业服务,C轮,北京,7000万美元,红杉资本中国 挚信资本,https://www.itjuzi.com/investevents/18206
2016.7.5,牙客,医疗健康,天使轮,广东,数千万人民币,启赋资本,https://www.itjuzi.com/investevents/18203
2016.7.5,叭叭速配,物流,Pre-A轮,广东,3000万人民币,中科乐创,https://www.itjuzi.com/investevents/18199
2016.7.5,轻课,教育,Pre-A轮,北京,1100万人民币,洪泰基金 喜马拉雅文化基金 慧科教育集团,https://www.itjuzi.com/investevents/18191
2016.7.4,TaoCloud大道科技,企业服务,Pre-A轮,北京,数千万人民币,如山创投,https://www.itjuzi.com/investevents/18186
2016.7.4,雅堂电商,电子商务,B轮,广东,数千万人民币,永懋投资,https://www.itjuzi.com/investevents/18185
2016.7.4,淘维科技(维客),企业服务,A轮,浙江,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/18184
2016.7.4,锐达影像,医疗健康,Pre-A轮,上海,1000万人民币,中路资本 快创营,https://www.itjuzi.com/investevents/18183
2016.7.4,小仙炖燕窝,本地生活,Pre-A轮,北京,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/18181
2016.7.4,66RPG橙光游戏中心,游戏,A+轮,北京,1000万人民币,国金投资,https://www.itjuzi.com/investevents/18180
2016.7.4,百布易买,电子商务,B轮,广东,数千万美元,成为资本 源码资本,https://www.itjuzi.com/investevents/18179
2016.7.4,呼呼快送,物流,Pre-A轮,北京,500万人民币,茶马古道资本,https://www.itjuzi.com/investevents/18178
2016.7.4,奇岛文化-奇岛占卜,文化娱乐,种子轮,四川,数百万人民币,创新谷Innovalley,https://www.itjuzi.com/investevents/18175
2016.7.4,百度文学,文化娱乐,战略投资,北京,亿元及以上人民币,完美世界,https://www.itjuzi.com/investevents/18173
2016.7.3,凹凸租车,汽车交通,B+轮,上海,1亿人民币,熊猫资本,https://www.itjuzi.com/investevents/16535
2016.7.2,界面,文化娱乐,B轮,上海,3亿人民币,昆仑信托,https://www.itjuzi.com/investevents/18145
2016.7.1,蜂巢互助,汽车交通,A轮,北京,数千万人民币,FreesFund峰瑞资本 真格基金 金沙江创投,https://www.itjuzi.com/investevents/18158
2016.7.1,NICE IN,电子商务,天使轮,广东,数百万人民币,红秀资本,https://www.itjuzi.com/investevents/18129
2016.7.1,会唐网,企业服务,C轮,北京,1亿人民币,稼沃资本,https://www.itjuzi.com/investevents/18128
2016.7.1,美联英语,教育,B轮,广东,1.7亿人民币,中小企业基金发展 道格资本,https://www.itjuzi.com/investevents/18123
2016.7.1,Horizon Robotics地平线机器人,硬件,A+轮,北京,数千万美元,双湖投资 青云创投 祥峰投资Vertex,https://www.itjuzi.com/investevents/18122
2016.7.1,易开业,企业服务,A轮,上海,500万人民币,苏河汇 南友圈,https://www.itjuzi.com/investevents/18121
2016.7.1,布林机,游戏,天使轮,湖北,数百万人民币,中国基金,https://www.itjuzi.com/investevents/18120
2016.7.1,袋鼠云,企业服务,Pre-A轮,浙江,450万美元,元璟资本 盈动投资(盈开投资),https://www.itjuzi.com/investevents/18118
2016.7.1,优游科技,企业服务,Pre-A轮,广东,数百万人民币,七友投资 起点国际创新工场 天宏数动,https://www.itjuzi.com/investevents/18117
