杨青,芝麻盒子.CEO,北京.朝阳区
丛珊珊,芝麻盒子.产品总监,北京.朝阳区
陈皓,芝麻盒子.CRO,北京.朝阳区
关一,芝麻盒子.COO,北京.朝阳区
许怡洋,视连通.创始人,北京.朝阳区
李媛媛,意安互动.创始人,上海.静安区
周豫,聚宝盆.创始人,北京.朝阳区
董玮琪,海狸工坊.COO,天津.滨海新区
Peter Bailey,Vertical Communications.CEO,
吴旌扬,码客街.创始人,上海.普陀区
林豪榆,布联网.创始人,浙江.绍兴
潘承智,来啊金服.创始人,河北.石家庄
肖朝军,校园中国.CEO,河南.郑州
张亮,星筹网.CEO,安徽.合肥
张健,菠萝合租.创始人,广东.广州
时艳强,我想认识你.创始人,北京.海淀区
鲁磊,壹路通.CEO,上海.黄浦区
石永刚,团建宝.创始人,北京.海淀区
Harry D. Rowland,Endotronix.CEO,
Matthew Capizzi,Zenrez.CEO,
Andrew Yu,Modo Labs.创始人,
胡辛束,辛里有束-胡辛束.创始人,北京.朝阳区
张善从,天仪研究院.CEO,湖南.长沙
汪邦顶,一千零一艺.创始人,北京.海淀区
郭冕,药材买卖网.CEO,上海.虹口区
文龙,桔子瑜伽-桔子运动.CEO,北京.朝阳区
Henry Shi,SnapTravel.CEO,
叶幸东,优升定制.联合创始人,广东.深圳
兴邦,优升定制.创始人,广东.深圳
王敏敏,火鸡岛.CEO,浙江.杭州
何相林,肾斗士.CEO,湖北.武汉
王智勇,好手帮.创始人,北京.昌平区
丁丁,吧啦吧啦.CEO,北京.海淀区
俞洋,简单报销.CEO,上海.徐汇区
林楚方,今日头条.副总裁,北京.海淀区
李文浩,JSFamily集视家.CEO,广东.中山
李烽,草莓网.联合创始人,北京.朝阳区
付国利,草莓网.CEO,北京.朝阳区
梁志坚,全民尚网.CEO,广东.深圳
蔡利民,乐无限Hi-WiFi.CEO,上海.徐汇区
刘璐,龙马游戏列土封疆.CEO,北京.东城区
李然,全民TV-全民直播.CEO,上海.松江区
陈麒聪,Recurrent.ai.CEO,北京.海淀区
牛计生,车透明.CEO,河北.石家庄
董正林,XinYue 能力共享?社交互动O2O运营平台.CEO,北京.朝阳区
王鹏,创伴儿.创始人,北京.海淀区
林枫,壹吉购.创始人,北京.海淀区
马骞,熊猫口袋.CEO,北京.东城区
李圣楠,蜘蛛旅游网.CEO,广东.深圳
王赢凯,,
贝振权,,
陶攀,淘葫芦.董事长,重庆.江北区
邱浩峰,闪电修.CEO,广东.深圳
赵智勇,优客里邻.CEO,北京.顺义区
焦子先,云唯+.创始人,
李宏洋,云唯+.ceo,
贾宝军,合同家.CLO,北京.海淀区
熊典,合同家.CTO,北京.海淀区
佟雨珂,合同家.COO,北京.海淀区
张凌立,合同家.CEO,北京.海淀区
闫加杰,博达学堂.CEO,四川.成都
尚钰,Candy Book.CEO,北京.朝阳区
蒋明,城市医伴.CEO,湖北.武汉
Marko Filej,OnlineGym4me.CEO,
王玲,评级宝.CEO,浙江.杭州
王贺天,慧知学院.CEO,
薛雪锋,拍路APP.CEO,上海.黄浦区
陈诚,Data Pipeline.CEO,北京.朝阳区
吴庆华,鹰眼数服.CEO,广东.深圳
盛希泰,中智诚.CEO,北京.海淀区
吴伟,东方泰华.创始人,北京.朝阳区
Elina Berglund,Natural Cycles.CEO,
那多,她她Les.CEO,上海.虹口区
刘渝民,向日葵营销.CEO,广东.深圳
Richard Kresch,US HealthVest.CEO,
Sharoon Thomas,Fulfil.io.CEO,
陈尔杰,宜保通保险.副总经理(寿险事业部),广东.深圳
王欣,宜保通保险.副总经理(财管事业部),广东.深圳
陈全,宜保通保险.副总经理(财险事业部),广东.深圳
胡帆,宜保通保险.CTO,广东.深圳
Aneel Bhusri,Workday.CEO,
Fertility,Progyny.CEO,
Michael Wayne,Kin Community.CEO,
严飞,药材购.创始人,湖北.武汉
Tomo Ohno,Kudan.CEO,
牛文怡,蜜惠.COO,浙江.杭州
Abby Schneiderman,Everplans.CEO,
Julian Ranger,digi.me.CEO,
Mason,Intelligrated.CEO,
Morristown,Honeywell霍尼韦尔.CEO,
高文宁,农孵网.CEO,北京.朝阳区
胡韬,新瞳科技.CEO,北京.海淀区
蒋川,草屋科技.COO,北京.海淀区
谢科,草屋科技.CEO,北京.海淀区
吴卉,慧话宝.CEO,湖北.武汉
杨免,辰寅科技.CEO,湖北.武汉
李成,房脉.CEO,陕西.西安
常义君,炼金台.CEO,北京.朝阳区
赵继爽,美联英语.CEO,广东.深圳
田硕,人人红娘.CEO,北京.海淀区
张雷,放心修.CEO,北京.海淀区
王玥,蓝游文化.CEO,上海.闸北区
赵亚飞,在线答疑.联合创始人,北京.昌平区
林颖,透透医美.CEO,四川.成都
谢航,NICE IN.CEO,广东.深圳
李陈,八斗才.创始人,
陈庆华,数聚股份.CEO,
Tim Kentley-Klay,Zoox.CEO,
蔡孟杰,屏方.CEO,北京.朝阳区
李方友,艾米机器人.CEO,浙江.杭州
张尔,飞地传媒.CEO,广东.深圳
宁益华,景昱医疗.CEO,江苏.苏州
黄奕,港湾健康.CEO,北京.海淀区
王晔,吆喝科技.创始人,北京.朝阳区
姜蕾,库易网Excess1.联合创始人&COO,上海.闵行区
杨猛,正镛科技.CEO,北京.海淀区
Nitin Mangtani,PredictSpring.CEO,
周游,贴心小护.CEO,广东.深圳
林章群,Finansir奉社.CEO,广东.广州
秦哲明,埃肯咨询.CEO,上海.奉贤区
契约,易赞(易粉科技).CEO,北京.朝阳区
胡亮,大社保网.CTO,
齐磊,大社保网.CEO,
黄硕,OnFire.创始人,北京.海淀区
刘瑶,逸善舒晨.创始人,广东.广州
陈玉莹,乐教乐学.创始人,北京.海淀区
王志弘,美丽约定.CEO,上海.浦东新区
吴立群,寰慧科技.创始人,北京.石景山区
莫凡,YunOffer.CEO,浙江.宁波
黄南,易美分期.创始人,上海.普陀区
沈洋,爱殿别墅.CEO,广东.广州
于学莲,炼了么.CEO,北京.朝阳区
刘亮,云云居.CEO,湖北.武汉
李超,宠慕.CEO,北京.通州区
郭喜鸿,买化塑.CEO,广东.广州
吴建学,MtComics墨腾美漫.CTO,浙江.杭州
刘恒宇,飞火极游(光锥科技).CEO,重庆.渝北区
李亚飞,,广东.深圳
蔡望勤,八十二十.CEO,广东.深圳
臧立,蜗壳道场创学院.创始人,江苏.苏州
王曦,WYSEngine智擎信息.CEO,北京.海淀区
马惠生,咦修哥.CEO,天津.西青区
谢建平,知图信息.CEO,上海.徐汇区
刘杰,美才网.CEO,湖北.武汉
贺柏忠,品材网.COO,上海.徐汇区
韩石川,期石网络.CEO,上海.徐汇区
张楠赓,嘉楠耘智Canaan.CEO,北京.海淀区
王弼鑫,什么鬼(不懂网络).CEO,上海.徐汇区
林加缪,妙兜手机开门.CEO,浙江.杭州
王小山,汉景.CEO,上海.普陀区
董嘉舟,片客空间.创始人,浙江.杭州
邵玉昆,,浙江.杭州
徐亮,TraveliD.创始人,上海.徐汇区
冯玉明,源品优购.创始人,浙江.杭州
郑旭光,喜来快递.创始人,陕西.西安
顾玉佳,蜂窝窝.创始人,山东.青岛
魏颿,动动呛.创始人,湖南.长沙
汪洋,来买地.CEO,北京.朝阳区
白永冰,金蛋篮.创始人,四川.成都
余江,淘BNB.创始人,浙江.杭州
孙永斌,ARTA科技.联合创始人,
刁磊,ARTA科技.制作总监,
王骄,ARTA科技.运营总监,
Sean Hwang,ARTA科技.CTO,
何力,法天使.创始人,北京.海淀区
张华,,四川.成都
Aleksandr Yampolskiy,SecurityScorecard.CEO,北美洲.美国
Ingo Nadler,hashplay.创始人,
Jan-Philipp Mohr,hashplay.创始人,
Jan Schlüter,hashplay.创始人,
Roy Man,Dapulse.CEO,北美洲.美国
Hamish Grierson,thriva.CEO,
Cornelius Frey,Opinary.创始人,
Pia Frey,Opinary.创始人,
Salmon K P,TaleHunt.CTO,
Aby Mathew,TaleHunt.CMO,
何翔,厨one.CEO,北京.海淀区
郑渊洁,皮皮鲁.CEO,北京.朝阳区
李启升,GoTrueCar.CEO,台湾.台北市
沈林峰,魔镜网络.创始人,陕西.西安
杨阳,索米音乐.CEO,北京.海淀区
James Goldman,Painzen.CEO,北美洲.美国
赵继远,旅行用车/红果科技.创始人,北京.朝阳区
郑闽,众车帮.CEO,上海.宝山区
张彦茹,校朋.CEO,北京.房山区
刘敏强,组一块/草帽网络.CEO,广东.东莞
王科鉴,一起印.CEO,陕西.西安
苟晓敏,皮皮易.创始人,陕西.西安
张锦鸿,蜀信e?惠生活.创始人,四川.成都
徐胜华,小小居商城.CEO,湖北.武汉
Martin Tantow,3scale.CEO,
Mike Piech,Red Hat.副总裁,北美洲.美国
严丹,乐摩科技.联合创始人,
郑期康,K歌达人.CEO,北京.朝阳区
邱朝敏,16WiFi一路热点.创始人,北京.海淀区
郭汉生,乐摩科技.CEO,
郭长琛,KeeKo.创始人,福建.厦门
Zach Perret,Plaid.联合创始人,
Divey Gulati,ShipBob.CEO,
Sujayath Ali,Voonik.联合创始人兼CEO,
赵欧伦,Moka希瑞亚斯.CEO,北京.海淀区
Ken Tamagawa,Soracom.CEO,
Gupta,ClearTax.CEO,
洪毅,sidda.CEO,浙江.杭州
Sayeed Anjum,Greytip Software.CEO,
陈斌,Swie.CTO,
华祎,Swie.联合创始人,
翟宇佳,Swie.CEO,
王智雄,晚晚.CEO,浙江.杭州
严律,汪汪配.CEO,广东.广州
曾挚,只去.CEO,湖南.长沙
李超,种好地.创始人,北京.海淀区
余丹丹,麦知网.CEO,浙江.嘉兴
沈法荣,杏香园.创始人,浙江.杭州
崔志芳,博望志.联合创始人,北京.朝阳区
钱力,ZMer兹曼.CEO,北京.西城区
林伯璋,兴云新能源.CEO,江苏.无锡
王海磊,TOWN/Augmn奥阁门.CEO,北京.朝阳区
闫绪文,51金手指.CEO,北京.东城区
黄文新,呱呱农服.CEO,北京.朝阳区
钱帅,咚咚管家.联合创始人,江苏.南京
王燕军,奇鱼微办公.联合创始人,北京.海淀区
王胜军,佳服证卡.创始人及CEO,北京.海淀区
郭思慰,界内体育.CEO,江苏.南京
马蕾,壹父母.创始人,北京.朝阳区
马翠,青庐会.创始人,山东.济南
李阳,慧智微电子Smarter Micro.CEO,广东.广州
张卫华,快乐沃客(搜才人力).CEO,广东.深圳
杨淇,柠檬健身.联合创始人,北京.朝阳区
黄志基,柠檬健身.联合创始人,北京.朝阳区
周雅娜,柠檬健身.创始人,北京.朝阳区
黄智越,童童.CEO,
SHARON CHIU,Avanquest.创始人,上海.自由贸易试验区
陆杭民,艾文凯迪.创始人,广东.中山
崔华波,奥克斯.创始人,浙江.宁波
叶龙,汽车时代网.创始人,四川.成都
申纪刚,和讯时代.创始人,北京.房山区
许中华,Autospace.创始人,上海.自由贸易试验区
仁丁丁,汽车驿站.创始人,陕西.西安
